train_loss,val_loss
0.3121145203113556,0.29861780524253845
0.2781124174594879,0.2656794989109039
0.24598069083690643,0.23317585945129393
0.2128844417333603,0.19754622459411622
0.1748989051580429,0.15633398056030273
0.13343425351381302,0.11473324030637741
0.09421617782115936,0.07800869345664978
0.06197881099581719,0.050951125770807265
0.040354838624596594,0.03516136363148689
0.028781012892723085,0.027841864824295043
0.02375193227827549,0.025130195915699004
0.021948478996753694,0.02428569070994854
0.021374810725450517,0.023999089524149895
0.021164714142680167,0.023854550644755362
0.021058256566524505,0.023760660365223885
0.020983787804841995,0.02368267484009266
0.020908342123031616,0.023637290224432946
