train_loss,val_loss
0.12665632141970964,0.02886177785694599
0.024506787705912168,0.025237029418349266
0.02285025928573436,0.025028885652621586
0.02273985441310339,0.02498590511580308
0.022701007946128827,0.024901550884048145
0.022604484896523405,0.024889831120769184
0.022546957310543483,0.02471212608118852
0.022441017340464765,0.024671833341320355
0.022322973827401317,0.02448661873737971
0.022189463679510427,0.024438589190443356
0.022048316589261156,0.024247741947571438
0.021935433231623298,0.023974244793256123
0.021766689669595187,0.023863733435670536
0.021574752083624225,0.023795826360583305
0.021368918723490345,0.02352855106194814
0.021131506578690076,0.023175073166688282
