train_loss,val_loss
0.36974673461914065,0.32974555253982546
0.2914901578426361,0.26286489129066465
0.23431236910820008,0.20941104590892792
0.1771757309436798,0.14328180611133576
0.11196795970201492,0.0835074844956398
0.06633232709765434,0.05402373373508453
0.04438433739542961,0.038822433799505236
0.0326430861055851,0.030746034383773803
0.026364161625504492,0.026418128684163093
0.023065921500325205,0.024449018612504005
0.02157739806175232,0.023747706189751625
0.021030213981866837,0.023550085127353668
0.020855635955929756,0.023520915433764458
0.020792672947049142,0.023510400131344797
0.020760677590966226,0.023475633189082145
